,PURPOSE_CD,INTERVAL_NO,BID_OFFER_DATE_DT,QUANTITY_NO,AWARDED_QUANTITY_NO,ENERGY_PRICE_NO,MERIT_ORDER_NO,PARTIAL_QTY_ACCEPTED_IN,ZONE_CD,AWARDED_PRICE_NO,OPERATORE
2217028,OFF,12,2017-11-04,3.508,3.508,0.0,555.0,N,NORD,49.67,Bilateralista
2217074,OFF,12,2017-11-04,2.588,2.588,5.0,857.0,N,CSUD,49.67,FRI-EL TRADING SRL
2217075,OFF,12,2017-11-04,6.405,6.405,10.0,928.0,N,CSUD,49.67,FRI-EL TRADING SRL
2217076,OFF,12,2017-11-04,63.107,63.107,5.0,856.0,N,CSUD,49.67,FRI-EL TRADING SRL
2217124,OFF,12,2017-11-04,9.225,9.225,0.0,300.0,N,CSUD,49.67,Bilateralista
2217148,OFF,12,2017-11-04,18.0,18.0,0.0,51.0,N,NORD,49.67,EDISON TRADING S.P.A.
2217189,OFF,12,2017-11-04,6.3,6.3,0.0,556.0,N,NORD,49.67,Bilateralista
2217205,OFF,12,2017-11-04,8.28,8.28,0.0,557.0,N,SUD,49.67,Bilateralista
2217229,OFF,12,2017-11-04,1.5,1.5,0.0,41.0,N,NORD,49.67,TIRRENO POWER S.P.A.
2217253,OFF,12,2017-11-04,22.0,22.0,0.0,393.0,N,NORD,49.67,DOLOMITI ENERGIA TRADING SPA
2217277,OFF,12,2017-11-04,10.877,10.877,0.0,301.0,N,CSUD,49.67,Bilateralista
2217294,OFF,12,2017-11-04,1.77,1.77,10.0,915.0,N,NORD,49.67,EDISON TRADING S.P.A.
2217305,OFF,12,2017-11-04,1.232,1.232,10.0,914.0,N,NORD,49.67,EDISON TRADING S.P.A.
2217323,OFF,12,2017-11-04,0.182,0.182,0.0,179.0,N,CSUD,49.67,ENERGY.DIS S.R.L.
2217347,OFF,12,2017-11-04,1.0,1.0,0.0,530.0,N,NORD,49.67,EDISON TRADING S.P.A.
2217401,OFF,12,2017-11-04,122.225,122.225,44.15,1204.0,N,ROSN,49.67,EDISON TRADING S.P.A.
2217402,OFF,12,2017-11-04,122.225,122.225,44.16,1206.0,N,ROSN,49.67,EDISON TRADING S.P.A.
2217403,OFF,12,2017-11-04,122.224,122.224,44.17,1207.0,N,ROSN,49.67,EDISON TRADING S.P.A.
2217404,OFF,12,2017-11-04,350.0,350.0,0.0,715.0,N,ROSN,49.67,Bilateralista
2217475,OFF,12,2017-11-04,0.055,0.055,0.0,225.0,N,ROSN,49.67,ERG POWER GENERATION S.P.A.
2217476,OFF,12,2017-11-04,0.302,0.302,32.1,1085.0,N,ROSN,49.67,ERG POWER GENERATION S.P.A.
2217477,OFF,12,2017-11-04,1.342,1.342,42.1,1160.0,N,ROSN,49.67,ERG POWER GENERATION S.P.A.
2217520,OFF,12,2017-11-04,1.128,1.128,0.0,304.0,N,CSUD,49.67,Bilateralista
2217559,OFF,12,2017-11-04,0.005,0.005,0.0,228.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2217560,OFF,12,2017-11-04,0.177,0.177,32.1,1086.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2217561,OFF,12,2017-11-04,0.789,0.789,42.1,1161.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2217601,OFF,12,2017-11-04,0.477,0.477,0.0,80.0,N,SUD,49.67,ENEL PRODUZIONE S.P.A.
2217625,OFF,12,2017-11-04,19.3,19.3,0.0,82.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2217649,OFF,12,2017-11-04,39.6,39.6,0.0,81.0,N,CNOR,49.67,ENEL PRODUZIONE S.P.A.
2217688,OFF,12,2017-11-04,0.041,0.041,0.0,229.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2217689,OFF,12,2017-11-04,0.403,0.403,32.1,1087.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2217690,OFF,12,2017-11-04,1.791,1.791,42.1,1162.0,N,SUD,49.67,ERG POWER GENERATION S.P.A.
2217736,OFF,12,2017-11-04,8.2,8.2,0.0,341.0,N,NORD,49.67,Bilateralista
2217778,OFF,12,2017-11-04,3.73,3.73,1.0,772.0,N,SARD,49.67,DANSKE COMMODITIES A.S
2217779,OFF,12,2017-11-04,12.9,12.9,2.0,795.0,N,SARD,49.67,DANSKE COMMODITIES A.S
